year,iso3,port_name,label,vessel_class,type,flag,is_pacific_rim,is_psma_port,is_psma_state,n_visits,n_visits_fishing_vessel,n_visits_fishing_vessel_hs,n_visits_support_vessel,n_visits_support_vessel_hs
2024,CHN,,CHN-1585,fishing,domestic,CHN,1,0,0,428,428,0,0,0
2024,CHN,,ZHAPU,fishing,domestic,CHN,1,0,0,375,375,0,0,0
2024,CHN,,CHN-2324,bunker,domestic,CHN,1,0,0,162,0,0,162,0
2024,CHN,,CHAOZHOU,bunker,domestic,CHN,1,0,0,75,0,0,75,0
2024,CHN,,CHN-2515,fishing,domestic,CHN,1,0,0,63,63,0,0,0
2024,CHN,,SHENGSI,fishing,domestic,CHN,1,0,0,2183,2183,0,0,0
2024,CHN,,CHN-2193,bunker,domestic,CHN,1,0,0,177,0,0,177,0
2024,CHN,,CHN-1951,bunker,domestic,CHN,1,0,0,20,0,0,20,0
2024,CHN,,CHN-177,bunker,domestic,CHN,1,0,0,15,0,0,15,0
2024,CHN,,CHN-2358,fishing,domestic,CHN,1,0,0,1578,1578,0,0,0
2024,CHN,,QISHAZHEN,fishing,domestic,CHN,1,0,0,2476,2476,0,0,0
2024,CHN,,CHN-1132,fishing,domestic,CHN,1,0,0,266,266,0,0,0
2024,CHN,,SHUIDONG,fishing,domestic,CHN,1,0,0,1223,1223,0,0,0
2024,CHN,,CHN-1149,fishing,domestic,CHN,1,0,0,252,252,0,0,0
2024,CHN,,CHN-1770,fishing,domestic,CHN,1,0,0,448,448,0,0,0
2024,CHN,,TONGLING,bunker,domestic,CHN,0,0,0,1923,0,0,1923,0
2024,CHN,,CHN-1969,bunker,domestic,CHN,1,0,0,639,0,0,639,0
2024,CHN,,CHN-1795,fishing,domestic,CHN,1,0,0,279,279,0,0,0
2024,CHN,,CHN-2289,fishing,domestic,CHN,1,0,0,1069,1069,0,0,0
2024,CHN,,CHN-2009,fishing,domestic,CHN,1,0,0,39,39,0,0,0
2024,CHN,,CHN-923,fishing,domestic,CHN,1,0,0,155,155,0,0,0
