FID_1,LATITUDE,LONGITUDE,FID_2,F_AREA
534,-52.50000000000,-27.50000000000,8,48
535,-52.50000000000,-22.50000000000,8,48
536,-52.50000000000,-17.50000000000,8,48
537,-52.50000000000,-12.50000000000,8,48
538,-52.50000000000,-7.50000000000,8,48
539,-52.50000000000,-2.50000000000,8,48
540,-52.50000000000,2.50000000000,8,48
541,-52.50000000000,7.50000000000,8,48
542,-52.50000000000,12.50000000000,8,48
543,-52.50000000000,17.50000000000,8,48
544,-52.50000000000,22.50000000000,8,48
545,-52.50000000000,27.50000000000,8,48
690,-42.50000000000,32.50000000000,9,51
691,-42.50000000000,37.50000000000,9,51
692,-42.50000000000,42.50000000000,9,51
693,-42.50000000000,47.50000000000,9,51
694,-42.50000000000,52.50000000000,9,51
695,-42.50000000000,57.50000000000,9,51
696,-42.50000000000,62.50000000000,9,51
697,-42.50000000000,67.50000000000,9,51
698,-42.50000000000,72.50000000000,9,51
699,-42.50000000000,77.50000000000,9,51
762,-37.50000000000,32.50000000000,9,51
763,-37.50000000000,37.50000000000,9,51
764,-37.50000000000,42.50000000000,9,51
765,-37.50000000000,47.50000000000,9,51
766,-37.50000000000,52.50000000000,9,51
767,-37.50000000000,57.50000000000,9,51
768,-37.50000000000,62.50000000000,9,51
769,-37.50000000000,67.50000000000,9,51
770,-37.50000000000,72.50000000000,9,51
771,-37.50000000000,77.50000000000,9,51
834,-32.50000000000,32.50000000000,9,51
835,-32.50000000000,37.50000000000,9,51
836,-32.50000000000,42.50000000000,9,51
837,-32.50000000000,47.50000000000,9,51
838,-32.50000000000,52.50000000000,9,51
839,-32.50000000000,57.50000000000,9,51
840,-32.50000000000,62.50000000000,9,51
841,-32.50000000000,67.50000000000,9,51
842,-32.50000000000,72.50000000000,9,51
843,-32.50000000000,77.50000000000,9,51
907,-27.50000000000,37.50000000000,9,51
908,-27.50000000000,42.50000000000,9,51
909,-27.50000000000,47.50000000000,9,51
910,-27.50000000000,52.50000000000,9,51
911,-27.50000000000,57.50000000000,9,51
912,-27.50000000000,62.50000000000,9,51
913,-27.50000000000,67.50000000000,9,51
914,-27.50000000000,72.50000000000,9,51
915,-27.50000000000,77.50000000000,9,51
979,-22.50000000000,37.50000000000,9,51
980,-22.50000000000,42.50000000000,9,51
982,-22.50000000000,52.50000000000,9,51
